Description,Amount
48,12.99
2theloo,2.0
AFbeauty,5.0
Amazon,64.0
Burger King,14.9
Caf̩ Eco,2.5
Carrefour,6.36
Concessions Aero,6.05
Deliveroo,29.6
Distrib 20,9.5
Dunnes Stores,25.5
JD Sports,33.99
McDonald's,7.0
Opera National de Paris,42.8
PAUL,3.2
Penneys,15.5
Pont Neuilly Pri,1.8
RATP,20.0
RELAY,8.7
SNCF,11.0
Steam,4.99
University College Cork,4.3
Veng Hour A̩roville,3.0
Westfield Les 4 Temps,1.0
